date,open,high,low,close,volume
2017-06-01,210.39414117854835,211.6201465017352,210.1072029156156,211.60275268554688,68962000
2017-06-02,211.65487817016762,212.46352461486995,211.3592496925739,212.3070068359375,88666100
2017-06-05,212.1330731091686,212.42001126633144,211.95047127548702,212.1504669189453,44698800
2017-06-06,211.58525558497104,212.1417380230038,211.39396350306092,211.47222900390625,50375400
2017-06-07,211.81138773977813,212.08962239390854,211.14186528727782,211.86355590820312,54144300
2017-06-08,211.95920523547161,212.44612583838824,211.43749700800873,211.9678955078125,65950700
2017-06-09,212.23748203435468,213.03742507906216,210.3767417794148,211.64622497558594,132256400
2017-06-12,211.40277023596138,211.6549208665175,210.75064143864,211.60275268554688,86108100
2017-06-13,212.14182695163927,212.68961934924857,211.79403025741988,212.637451171875,60067000
2017-06-14,212.90699351412243,212.91568378773508,211.54186430411934,212.36790466308594,78602300
2017-06-15,211.01139726047873,212.08089760951486,210.73316265162578,211.95916748046875,66464900
2017-06-16,212.11909955105568,212.17152212336774,211.12303068025076,212.00550842285156,84553100
2017-06-19,212.83559403158944,213.8316630448461,212.7394815245079,213.7705078125,65123800
2017-06-20,213.41224513297612,213.42097778453336,212.31133108360427,212.32879638671875,56906400
2017-06-21,212.72198571656747,212.8355635124365,211.8045507045785,212.2763671875,55977600
2017-06-22,212.2850952844475,212.78312301155248,212.00549047939205,212.18023681640625,44148100
2017-06-23,212.24146028259509,212.76569942927958,211.8570102423165,212.43368530273438,66986800
2017-06-26,213.1064408957019,213.5258481751077,212.36376550313716,212.57345581054688,56700500
2017-06-27,212.35501286031425,212.65209634031817,210.84343750186147,210.8609161376953,82247700
2017-06-28,211.8831718164426,212.94914182989623,211.6472569230281,212.74818420410156,70042600
2017-06-29,212.89675192521318,212.9491745023948,209.66389745351125,210.87840270996094,106949700
2017-06-30,211.6909392805763,212.06665656646834,211.0793204419865,211.27154541015625,86820700
2017-07-03,212.21521413562803,212.65208668558952,211.6298065185547,211.6298065185547,39153800
2017-07-05,211.99675582186276,212.32876985935928,211.18416603061777,212.11907958984375,54427600
2017-07-06,211.3501821915773,211.47250596099136,209.99587474516312,210.1793670654297,65400800
2017-07-07,210.75606940556844,211.69096976512364,210.1881270697201,211.5424346923828,57972300
2017-07-10,211.5424386047802,212.1453248908913,211.23662246964494,211.7696075439453,36663300
2017-07-11,211.76961819913453,211.92689926669547,210.44153510478725,211.6123504638672,50354600
2017-07-12,212.5821935874882,213.36855887450096,212.5821935874882,213.20254516601562,59610400
2017-07-13,213.21129828354674,213.67438215308232,212.98411600863207,213.560791015625,39471600
2017-07-14,213.56078532265403,214.9150929548679,213.46467282405064,214.55685424804688,60262700
