date,open,high,low,close
2019-06-03,19.40999984741211,19.75,18.15999984741211,18.860000610351562
2019-06-04,18.739999771118164,18.739999771118164,16.969999313354492,16.969999313354492
2019-06-05,17.059999465942383,17.489999771118164,16.040000915527344,16.09000015258789
2019-06-06,16.25,16.540000915527344,15.359999656677246,15.930000305175781
2019-06-07,15.649999618530273,16.440000534057617,15.329999923706055,16.299999237060547
2019-06-10,16.299999237060547,16.469999313354492,15.84000015258789,15.9399995803833
2019-06-11,15.84000015258789,16.700000762939453,15.5,15.989999771118164
2019-06-12,16.260000228881836,16.43000030517578,15.779999732971191,15.90999984741211
2019-06-13,16.15999984741211,16.209999084472656,15.609999656677246,15.819999694824219
2019-06-14,16.0,16.399999618530273,15.210000038146973,15.279999732971191
2019-06-17,15.649999618530273,15.760000228881836,15.239999771118164,15.350000381469727
2019-06-18,14.890000343322754,15.539999961853027,14.619999885559082,15.149999618530273
2019-06-19,15.050000190734863,15.710000038146973,14.149999618530273,14.329999923706055
2019-06-20,14.039999961853027,16.030000686645508,13.1899995803833,14.75
2019-06-21,14.739999771118164,15.479999542236328,14.420000076293945,15.399999618530273
2019-06-24,15.460000038146973,15.5600004196167,15.229999542236328,15.260000228881836
2019-06-25,15.430000305175781,16.68000030517578,15.100000381469727,16.280000686645508
2019-06-26,16.100000381469727,16.600000381469727,15.470000267028809,16.209999084472656
2019-06-27,15.65999984741211,16.399999618530273,15.65999984741211,15.819999694824219
2019-06-28,15.699999809265137,16.1299991607666,15.079999923706055,15.079999923706055
2019-07-01,13.850000381469727,14.640000343322754,13.800000190734863,14.0600004196167
2019-07-02,14.15999984741211,14.300000190734863,12.899999618530273,12.930000305175781
2019-07-03,13.180000305175781,13.1899995803833,12.5600004196167,12.569999694824219
2019-07-05,13.0,14.470000267028809,12.039999961853027,13.279999732971191
2019-07-08,13.729999542236328,14.4399995803833,13.640000343322754,13.960000038146973
2019-07-09,14.470000267028809,14.710000038146973,13.989999771118164,14.09000015258789
2019-07-10,14.380000114440918,14.6899995803833,12.979999542236328,13.029999732971191
2019-07-11,13.010000228881836,13.329999923706055,12.390000343322754,12.930000305175781
2019-07-12,12.760000228881836,12.819999694824219,12.279999732971191,12.390000343322754
2019-07-15,12.579999923706055,13.020000457763672,12.489999771118164,12.680000305175781
2019-07-16,12.609999656677246,13.140000343322754,12.279999732971191,12.859999656677246
