date,open,high,low,close,volume
2019-06-03,248.68616023462886,249.80623728540695,246.6808441030367,248.01773071289062,96428000
2019-06-04,250.3211879560785,253.5369170037464,249.86954030818822,253.40142822265625,77231900
2019-06-05,255.0273094112789,255.6234875225482,253.21170489181105,255.5963897705078,71169700
2019-06-06,255.89446605191017,257.93589414864323,255.24409250405756,257.2584228515625,69430400
2019-06-07,258.27921673423265,260.9168511212759,258.1075884231039,259.8328857421875,74272200
2019-06-10,261.38648951601505,262.69627839166463,260.9348419818432,261.0251770019531,60799100
2019-06-11,262.84979726167717,263.22015151123463,260.3115405746094,260.9619140625,58641300
2019-06-12,260.7271055086152,261.2871440484228,259.9863969259891,260.50128173828125,47096300
2019-06-13,261.41361587841106,261.93754251256837,260.70904675063946,261.5762023925781,48945200
2019-06-14,261.2871398925781,261.89233215027554,260.51933357237925,261.2871398925781,52324700
2019-06-17,261.5219633486242,262.15428088695546,261.2148463508673,261.386474609375,39205700
2019-06-18,263.21116484150195,265.1803414868671,262.84982475880395,264.12347412109375,85434800
2019-06-19,264.25894573066785,265.2525757608904,263.28339924323416,264.7196350097656,78674400
2019-06-20,267.41148491549893,267.65536466476567,264.78289290788814,267.2488708496094,116570000
2019-06-21,266.97841653189795,268.24008911239224,266.6425762270279,266.86041259765625,83309500
2019-06-24,267.06910203580264,267.3867707370934,266.37925015779916,266.5335693359375,47582700
2019-06-25,266.58806998132854,266.61529952284087,263.810545945279,263.9194641113281,82028700
2019-06-26,264.8181206931494,265.32642403868346,263.54736232931435,263.6562805175781,51584900
2019-06-27,264.4186625043458,265.09942869342365,264.03744895071253,264.59112548828125,40355200
2019-06-28,265.57151739031025,266.4519764369818,265.05415594262473,265.9527587890625,59350900
2019-07-01,269.29305042851337,269.5109145314367,267.15997665284783,268.3672180175781,78705600
2019-07-02,268.32172897411607,269.12049912181965,267.47758549093123,269.0660400390625,61504500
2019-07-03,269.7468647198852,271.23548717231705,269.6016312342488,271.2173156738281,40898900
2019-07-05,269.9828287311762,271.072065846248,268.68484102103844,270.9086608886719,51677300
2019-07-08,269.59250693584625,270.72711729438515,268.87542543312424,269.4200439453125,45841800
2019-07-09,268.2582704239669,270.05547594830585,268.20381132931755,269.7559509277344,41101300
