date,open,high,low,close,volume
2012-06-01,101.51818437191243,103.15772248768735,100.53759765625,100.53759765625,253240900
2012-06-04,100.71800748042496,100.9925765085398,99.73742090865898,100.49051666259766,202545800
2012-06-05,100.29442796507222,101.40052688741817,100.23951533750933,101.2514877319336,164149400
2012-06-06,101.95748190059433,103.57348683883338,101.92609642351171,103.52642059326172,184202800
2012-06-07,104.70310960965502,104.75017584848246,103.37735468911265,103.58916473388672,184772700
2012-06-08,103.32246797737105,104.43641306779621,102.99298030198563,104.41287994384766,143915400
2012-06-11,105.25225115082985,105.31501013517516,102.98513521033469,103.08712005615234,169756100
2012-06-12,103.3852132597715,104.34226685112976,102.8910056950917,104.27166748046875,181931800
2012-06-13,103.96574582588417,104.61685697201911,103.25187568095917,103.60489654541016,172223900
2012-06-14,103.81669349935173,105.11891577656112,103.53428399309011,104.7031478881836,230615500
2012-06-15,105.17467475626673,105.86857653394975,104.95388618626649,105.77395629882812,169444500
2012-06-18,105.33236654717827,106.23917577738558,105.09580395562364,105.97895812988281,131360900
2012-06-19,106.51518680890462,107.43777025458115,105.9553223083272,107.00407409667969,137382600
2012-06-20,107.0119684306437,107.31949624958357,105.87647739699638,106.83059692382812,206451800
2012-06-21,106.95677090694413,107.06716520592025,104.34672481309201,104.43346405029297,205272200
2012-06-22,104.97753715326091,105.43488832531337,104.57537710551996,105.23775482177734,130029200
2012-06-25,104.12591943262902,104.16534853992468,103.17968101790447,103.55029296875,146375700
2012-06-26,103.84992068110046,104.3861300334469,103.24274615967201,104.07070922851562,141634000
2012-06-27,104.41766326359256,105.21407821428848,104.06282539574084,105.00906372070312,108088000
2012-06-28,104.3151522705026,104.86713566814126,103.5187373024779,104.70941925048828,169242100
2012-06-29,106.60979308545974,107.45353023050241,106.33381340809045,107.3194808959961,212250900
2012-07-02,107.61915194171078,107.75320132144597,106.86216579354995,107.64280700683594,129524500
2012-07-03,107.61915776076135,108.43134712618185,107.50876344018221,108.35250091552734,80450000
2012-07-05,107.95029512574058,108.65998291433975,107.46928892522807,107.86355590820312,126177500
2012-07-06,106.8227040390886,107.05926665014621,106.33381679975727,106.8384780883789,151192100
2012-07-09,106.75172447709588,106.90154784497456,106.21551516216546,106.70441436767578,103780500
2012-07-10,107.24851111248854,107.42198956492797,105.41122534407079,105.77395629882812,167884800
2012-07-11,105.82916299669631,106.13669080320115,105.17467827370905,105.78973388671875,141733400
2012-07-12,105.17467465939119,105.84492137767646,104.55961906751781,105.27717590332031,143583200
2012-07-13,105.55317385754553,107.15389709902712,105.53739980675115,107.04350280761719,129642600
2012-07-16,106.79906888443837,107.1065967265024,106.3732536987642,106.79117584228516,97525200
2012-07-17,107.21699302622781,107.74530948105225,106.09727593855978,107.52452087402344,138860300
2012-07-18,107.27216352450574,108.53382277801315,107.2090913906973,108.32091522216797,113349700
2012-07-19,108.54170556696924,108.95962764473232,108.19476069703492,108.60478973388672,129847300
2012-07-20,107.98974483795736,108.15534229651989,107.49297652642126,107.61125183105469,142904500
2012-07-23,106.03418398535835,107.54028704092696,105.53740363993266,106.5230712890625,145210900
2012-07-24,106.60190549876239,106.64921561013057,104.89866929706942,105.60834503173828,173301200
2012-07-25,105.82915254130567,106.10513221973304,105.07215461357939,105.63201904296875,129122300
2012-07-26,107.15387576777343,107.60334588537143,106.65709553928573,107.37466430664062,156526500
2012-07-27,107.94239630512885,109.66140632390973,107.3509959282583,109.35386657714844,236768900
2012-07-30,109.22771030779036,109.87430179649166,109.03057684883352,109.35386657714844,106782000
2012-07-31,109.2040906629814,109.50372543593905,108.58903503417969,108.58903503417969,120575900
2012-08-01,109.36967332517845,109.3933283847606,108.34457662567712,108.49440002441406,138293800
2012-08-02,107.67432748640802,108.47863559051598,106.90944849141734,107.74529266357422,199556600
2012-08-03,109.25928398328101,110.1109022630213,107.77683601128027,109.88223266601562,157825000
2012-08-06,110.17398914591111,110.52882709651357,110.04782079793995,110.09513092041016,86326200
2012-08-07,110.53671128304134,111.12023088512129,110.41843597346661,110.6471176147461,109545100
2012-08-08,110.2764971118068,110.90731475707383,110.24494901029826,110.78115844726562,89754700
2012-08-09,110.62342629152657,111.09655149035204,110.5130320160771,110.87576293945312,90291700
2012-08-10,110.4263068675235,111.09656564591619,110.24494739876405,111.05713653564453,99792700
2012-08-13,110.86787328569174,111.05711372480596,110.42628418625564,111.00192260742188,79426900
2012-08-14,111.41194423873357,111.48292143079703,110.6864945284296,111.0176773071289,102379400
2012-08-15,110.89940103424672,111.33309706149116,110.82843587489903,111.14384460449219,71085900
2012-08-16,111.30160371913033,112.09803100603824,111.02562395299836,111.96398162841797,112014200
2012-08-17,112.15319100952131,112.20839416666836,111.86143727052794,112.11376190185547,90813700
2012-08-20,111.95604564458,112.14529812208528,111.64851788867959,112.12164306640625,78255700
2012-08-21,112.39764842586781,112.83134459926762,111.53814912081465,111.7825927734375,105581100
2012-08-22,111.4987001591125,112.01125446627583,111.23849453347073,111.82989501953125,133243500
2012-08-23,111.55390224408283,111.5617832522749,110.74171321357625,110.91519165039062,111466400
2012-08-24,110.63921076402188,111.8377858904507,110.56824558713409,111.58544921875,99481200
2012-08-27,111.88506911794481,112.03489247674925,111.45137308774035,111.60907745361328,68785900
2012-08-28,111.3252321775522,111.84566754186827,111.15964676386288,111.49871063232422,75689600
2012-08-29,111.59334225978736,111.8850960083759,111.27792142016149,111.58544921875,65421300
2012-08-30,111.10444827923861,111.13599638074716,110.54459581425283,110.78115844726562,96589900
2012-08-31,111.4119647402467,111.82989883416006,110.67863388791238,111.30946350097656,151970400
2012-09-04,111.21479781525002,111.54599258743356,110.49724122770698,111.20691680908203,120226200
2012-09-05,111.2542502795488,111.55389702586116,110.891531406503,111.11231994628906,100660300
2012-09-06,111.78257738501343,113.37541946073412,111.77469637642776,113.36753845214844,158272500
2012-09-07,113.55679873334093,113.85644556093092,113.45429747554142,113.80913543701172,107272100
2012-09-10,113.69873845832791,113.89587199139747,113.1231119107461,113.16252899169922,86458500
2012-09-11,113.23349977841593,113.84066236269986,113.2019516769536,113.47794342041016,88760000
2012-09-12,113.85638427734375,113.98255256126863,113.46999841984996,113.85638427734375,87640900
2012-09-13,113.84064774084956,115.94603204021794,113.54101300789472,115.59119415283203,225470200
2012-09-14,115.81987941092628,116.78977287568472,115.72524714777545,116.10375213623047,169777000
2012-09-17,115.8671999544461,116.06433347498051,115.4177297522315,115.7094955444336,119427800
