id,order_id,timestamp,quantity,price,commission,realized_pnl
1,4105,2025-11-04T21:50:09.141761,1,6802.75,0.0,0.0
2,4125,2025-11-04T21:50:59.687053,1,6802.75,0.0,0.0
3,4227,2025-11-04T21:55:39.768795,1,6807.25,0.0,0.0
4,4231,2025-11-04T21:55:45.454627,1,6807.25,0.0,0.0
5,4235,2025-11-04T21:55:51.146849,1,6807.5,0.0,0.0
6,4921,2025-11-04T23:14:48.085653,1,6797.0,0.0,0.0
7,4984,2025-11-04T23:35:15.343838,1,6797.25,0.0,0.0
8,5047,2025-11-04T23:49:30.656074,1,6793.75,0.0,0.0
9,5109,2025-11-04T23:52:19.040007,1,6794.25,0.0,0.0
10,5157,2025-11-04T23:54:28.256066,1,6794.0,0.0,0.0
11,5339,2025-11-05T00:02:52.997008,1,6790.75,0.0,0.0
12,4922,2025-11-05T00:03:55.067070,1,6789.0,0.0,0.0
13,5373,2025-11-05T00:04:22.883495,1,6787.0,0.0,0.0
14,5400,2025-11-05T00:10:54.800311,1,6787.5,0.0,0.0
15,5457,2025-11-05T00:26:26.152003,1,6783.25,0.0,0.0
16,5461,2025-11-05T00:26:31.870039,1,6783.0,0.0,0.0
17,5499,2025-11-05T00:34:40.879053,1,6777.75,0.0,0.0
18,5503,2025-11-05T00:34:46.598375,1,6778.25,0.0,0.0
19,5667,2025-11-05T02:53:05.975027,1,6773.0,0.0,0.0
20,5671,2025-11-05T02:53:11.715841,1,6773.75,0.0,0.0
21,5796,2025-11-05T03:58:07.221393,3,6793.0,0.0,0.0
22,6327,2025-11-06T04:38:34.412729,1,6825.5,0.0,0.0
23,6381,2025-11-06T04:40:55.302452,1,6825.25,0.0,0.0
24,6399,2025-11-06T04:41:40.342822,1,6825.75,0.0,0.0
25,6457,2025-11-06T04:44:17.694384,1,6825.5,0.0,0.0
26,6467,2025-11-06T04:44:40.244119,1,6826.0,0.0,0.0
27,6485,2025-11-06T04:52:29.981113,1,6824.25,0.0,0.0
28,6529,2025-11-06T04:54:27.904711,1,6824.75,0.0,0.0
29,6619,2025-11-06T04:58:35.260248,1,6826.0,0.0,0.0
30,6623,2025-11-06T04:58:41.000415,1,6826.0,0.0,0.0
31,6693,2025-11-06T17:28:20.057736,1,6739.75,0.0,0.0
32,6721,2025-11-06T17:29:33.338777,1,6740.5,0.0,0.0
33,6737,2025-11-06T17:30:12.811610,1,6740.25,0.0,0.0
34,6803,2025-11-06T17:33:13.953411,1,6749.0,0.0,0.0
35,6915,2025-11-06T17:38:23.479080,1,6748.0,0.0,0.0
36,7045,2025-11-06T17:44:24.832401,1,6751.0,0.0,0.0
37,7049,2025-11-06T17:44:30.617769,1,6751.75,0.0,0.0
38,7081,2025-11-06T17:45:55.113674,1,6756.75,0.0,0.0
39,7101,2025-11-06T17:46:45.803491,1,6757.5,0.0,0.0
40,7129,2025-11-06T17:47:58.918053,1,6759.0,0.0,0.0
41,7139,2025-11-06T17:50:01.788846,1,6758.0,0.0,0.0
42,7139,2025-11-06T17:50:01.790846,1,6758.0,0.0,0.0
43,7193,2025-11-06T17:52:28.720783,1,6760.0,0.0,0.0
44,7193,2025-11-06T17:52:28.722475,1,6760.0,0.0,0.0
45,7199,2025-11-06T17:52:40.053495,1,6761.25,0.0,0.0
46,7199,2025-11-06T17:52:40.055849,1,6761.25,0.0,0.0
47,7355,2025-11-06T17:59:52.995925,1,6757.5,0.0,0.0
48,7355,2025-11-06T17:59:52.998596,1,6757.5,0.0,0.0
49,7467,2025-11-06T18:27:05.150462,2,6758.25,0.0,0.0
50,7469,2025-11-06T18:27:06.274637,2,6758.25,0.0,0.0
51,7503,2025-11-06T18:28:35.532901,2,6757.25,0.0,0.0
52,7505,2025-11-06T18:28:36.677342,2,6758.0,0.0,0.0
53,7543,2025-11-06T18:30:17.289135,2,6758.5,0.0,0.0
54,7544,2025-11-06T18:30:17.299315,2,6758.25,0.0,0.0
55,7549,2025-11-06T18:30:23.230761,2,6758.25,0.0,0.0
56,7550,2025-11-06T18:30:23.241313,2,6758.0,0.0,0.0
57,7559,2025-11-06T18:30:40.394154,2,6758.25,0.0,0.0
58,7560,2025-11-06T18:30:40.402781,2,6758.0,0.0,0.0
59,7567,2025-11-06T18:30:51.819141,2,6759.0,0.0,0.0
60,7568,2025-11-06T18:30:51.829026,2,6758.75,0.0,0.0
61,7579,2025-11-06T18:31:14.989019,2,6761.0,0.0,0.0
62,7580,2025-11-06T18:31:14.996724,2,6760.75,0.0,0.0
63,7623,2025-11-06T18:33:07.790594,3,6761.25,0.0,0.0
64,7625,2025-11-06T18:33:08.747506,3,6761.5,0.0,0.0
65,7629,2025-11-06T18:33:13.512316,3,6761.0,0.0,0.0
