date,signal_type,right,strike,confidence,confidence_tier,regime,spy_entry,spy_exit,entry_premium,exit_premium,pnl_per_contract,pnl_pct,holding_hours,vix,iv_rank,month
2025-06-05,CALL_SWEEP,C,589.0,0.8296552619701081,HIGH,TREND_UP,586.3285522460938,592.8834228515625,4.98,7.16,217.9,43.78,48.0,18.479999542236328,12.892431995796569,2025-06
2025-06-06,CALL_SWEEP,C,599.0,0.861507977205565,HIGH,TREND_UP,592.3495483398438,596.2449951171875,2.98,3.63,64.73,21.7,48.0,16.770000457763672,8.49202279443497,2025-06
2025-06-09,CALL_SWEEP,C,601.0,0.7901985139172335,MEDIUM,TREND_UP,592.8834228515625,594.5443725585938,2.65,2.37,-27.83,-10.5,48.0,17.15999984741211,9.495623859673923,2025-06
2025-06-10,CALL_SWEEP,C,601.0,0.8287551805151527,HIGH,TREND_UP,596.2449951171875,596.9072265625,3.74,3.39,-34.39,-9.2,48.0,16.950000762939453,8.95522479631655,2025-06
2025-06-11,CALL_SWEEP,C,602.0,0.8417247584975412,HIGH,TREND_UP,594.5443725585938,590.2338256835938,2.89,1.79,-109.98,-38.02,48.0,17.260000228881836,9.752958850525545,2025-06
2025-06-12,CALL_SWEEP,C,602.0,0.7652378446182836,MEDIUM,TREND_UP,596.9072265625,595.8494873046875,3.96,2.94,-101.27,-25.6,48.0,18.020000457763672,11.708697909438492,2025-06
2025-06-13,CALL_SWEEP,C,589.0,0.8110859517962563,HIGH,TREND_UP,590.2338256835938,590.7578735351562,7.69,7.07,-61.77,-8.04,48.0,20.81999969482422,18.9140482037437,2025-06
2025-06-16,CALL_SWEEP,C,594.0,0.8197282420940566,HIGH,TREND_UP,595.8494873046875,590.6688232421875,7.53,4.21,-331.87,-44.07,48.0,19.110000610351562,14.513639002382101,2025-06
2025-06-17,CALL_SWEEP,C,589.0,0.8029433248998309,HIGH,TREND_UP,590.7578735351562,589.2816162109375,8.23,6.0,-222.85,-27.09,48.0,21.600000381469727,20.921255242478313,2025-06
2025-06-18,CALL_SWEEP,C,597.0,0.8166117256365704,HIGH,TREND_UP,590.6688232421875,595.1022338867188,4.1,4.79,68.61,16.74,48.0,20.139999389648438,17.164176155860712,2025-06
2025-06-20,PUT_SWEEP,P,594.0,0.7928060667792065,MEDIUM,RANGE_BOUND,589.2816162109375,601.6764526367188,9.05,1.88,-452.38,-50.0,48.0,20.6200008392334,18.39938313029716,2025-06
2025-06-23,CALL_SWEEP,C,604.0,0.8285323798399911,HIGH,RANGE_BOUND,595.1022338867188,602.0136108398438,3.21,3.95,74.47,23.2,48.0,19.829999923706055,16.366442101651714,2025-06
2025-06-24,CALL_SWEEP,C,597.0,0.7599970089474082,MEDIUM,TREND_UP,601.6764526367188,606.7236328125,8.75,11.34,259.68,29.69,48.0,17.479999542236328,10.319091903793751,2025-06
2025-06-25,CALL_SWEEP,C,605.0,0.858533711195476,HIGH,TREND_UP,602.0136108398438,609.738037109375,4.44,7.62,318.47,71.73,48.0,16.760000228881836,8.466288804524137,2025-06
2025-06-26,CALL_SWEEP,C,613.0,0.8619711792074466,HIGH,TREND_UP,606.7236328125,612.6533813476562,3.18,4.8,162.39,51.11,48.0,16.59000015258789,8.028820792553388,2025-06
2025-06-27,CALL_SWEEP,C,618.0,0.7926659822102691,MEDIUM,TREND_UP,609.738037109375,612.455078125,2.51,2.68,17.81,7.11,48.0,16.31999969482422,7.3340177897310195,2025-06
2025-06-30,CALL_SWEEP,C,618.0,0.8151760794786885,HIGH,TREND_UP,612.6533813476562,615.2315063476562,3.6,3.69,9.06,2.52,48.0,16.729999542236328,8.38908683479164,2025-06
2025-07-01,CALL_SWEEP,C,610.0,0.8053205248969675,HIGH,TREND_UP,612.455078125,620.0803833007812,7.3,11.67,437.29,59.94,48.0,16.829999923706055,8.64642182564326,2025-07
2025-07-02,CALL_SWEEP,C,618.0,0.8414093617337404,HIGH,TREND_UP,615.2315063476562,615.4595336914062,4.62,4.11,-50.47,-10.93,48.0,16.639999389648438,8.157485833850847,2025-07
2025-07-03,CALL_SWEEP,C,622.0,0.8473366829858548,HIGH,TREND_UP,620.0803833007812,615.1224365234375,4.95,2.28,-247.66,-50.0,48.0,16.3799991607666,7.48841682093931,2025-07
2025-07-07,CALL_SWEEP,C,619.0,0.8188831691337406,HIGH,TREND_UP,615.4595336914062,618.8110961914062,4.68,4.7,2.32,0.5,48.0,17.790000915527344,11.116830866259452,2025-07
2025-07-08,CALL_SWEEP,C,621.0,0.813612165603791,HIGH,TREND_UP,615.1224365234375,620.5563354492188,3.46,4.54,108.43,31.36,48.0,16.809999465942383,8.594953845821594,2025-07
2025-07-09,CALL_SWEEP,C,626.0,0.8621215955361659,HIGH,TREND_UP,618.8110961914062,618.3748168945312,2.78,1.99,-79.11,-28.42,48.0,15.9399995803833,6.356148260274545,2025-07
2025-07-10,CALL_SWEEP,C,623.0,0.8624352725493045,HIGH,TREND_UP,620.5563354492188,619.5547485351562,4.52,3.61,-91.24,-20.19,48.0,15.779999732971191,5.944414238214631,2025-07
2025-07-11,CALL_SWEEP,C,611.0,0.7759417458891799,MEDIUM,TREND_UP,618.3748168945312,616.9072875976562,10.39,8.74,-164.68,-15.85,48.0,16.399999618530273,7.5398848007609764,2025-07
2025-07-14,CALL_SWEEP,C,619.0,0.8215532497826517,HIGH,TREND_UP,619.5547485351562,618.9697265625,6.44,5.14,-130.69,-20.29,48.0,17.200000762939453,9.598559819317254,2025-07
2025-07-15,CALL_SWEEP,C,621.0,0.7884650288013437,MEDIUM,TREND_UP,616.9072875976562,622.7576293945312,4.33,5.94,161.07,37.19,48.0,17.3799991607666,10.061756912942128,2025-07
