strategy,total_return,cagr,sharpe,sortino,max_drawdown,avg_drawdown,profit_factor,calmar_ratio,volatility,total_trades,winning_trades,losing_trades,win_rate,avg_win,avg_loss,largest_win,largest_loss,avg_trade,expectancy,avg_holding_hours,final_equity
RSI_MACD_Sentiment,-0.017747999999997544,-0.0023710199625167627,-1.0827530272387706,-0.247638226758355,-0.01851599999999687,-0.017626716842102822,0.18183623025178638,0.12805249311499048,0.0021913318466970006,20,0.0,10.0,0.0,0.0,-162.59999999997945,-15.00000000005457,-346.4999999999236,-162.59999999997945,-162.59999999997945,0.04333333333333333,98225.20000000024
Momentum_Reversal,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,,,,,,,,,,,100000.0
Combined_Baseline,-0.017747999999997544,-0.0023710199625167627,-1.0827530272387706,-0.247638226758355,-0.01851599999999687,-0.017626716842102822,0.18183623025178638,0.12805249311499048,0.0021913318466970006,20,0.0,10.0,0.0,0.0,-162.59999999997945,-15.00000000005457,-346.4999999999236,-162.59999999997945,-162.59999999997945,0.04333333333333333,98225.20000000024
Enhanced_Regime,-0.02113899999999791,-0.0028282592473514168,-1.1710809646511093,-0.3088644259367916,-0.021573421400896686,-0.021136770892386282,0.30276783608929775,0.13109924451917773,0.0024172698574170173,8,0.0,4.0,0.0,0.0,-512.8749999999513,-416.9999999999618,-687.99999999992,-512.8749999999513,-512.8749999999513,0.22916666666666669,97886.10000000021
Optimized,0.02112000000000136,0.0027743918397564737,1.4916783981571662,1.5105578088598246,-0.008565049279530168,-0.003964989261172668,1.6371751165108628,0.3239201257588867,0.0018594835967803065,20,7.0,3.0,0.7,440.4285714285769,-307.66666666666725,491.49999999999636,-351.0000000000218,216.00000000000364,216.00000000000364,2.428333333333333,102112.00000000015
