2026-02-08 09:56:33.345 | DEBUG    | backtest.broker_sim:_execute_fill:793 - Filled: BUY 1 ES @ 6788.0 (slip=0.2500, comm=2.40)
2026-02-08 09:56:33.345 | DEBUG    | backtest.engine:_on_fill:1601 - Fill: BUY 1 @ 6788.0
2026-02-08 09:56:33.345 | DEBUG    | backtest.broker_sim:_activate_bracket_children:930 - Activated bracket child: 9a696e8c
2026-02-08 09:56:33.345 | DEBUG    | backtest.broker_sim:_activate_bracket_children:930 - Activated bracket child: 16215e9e
2026-02-08 09:56:33.345 | DEBUG    | backtest.broker_sim:_execute_fill:793 - Filled: SELL 1 ES @ 6763.0 (slip=0.2500, comm=2.40)
2026-02-08 09:56:33.345 | DEBUG    | backtest.engine:_on_fill:1601 - Fill: SELL 1 @ 6763.0
2026-02-08 09:56:33.345 | DEBUG    | backtest.broker_sim:_cancel_oco_pair:523 - OCO cancelled: 16215e9e
2026-02-08 09:56:33.345 | WARNING  | shree.risk.risk_gate:record_trade_result:200 - 📉 Consecutive losses: 1
2026-02-08 09:56:33.367 | DEBUG    | backtest.engine:_check_daily_reset:1125 - New trading day: 2025-11-21
2026-02-08 09:56:33.372 | DEBUG    | shree.strategies.es_fifteen_min:_compute_opening_range:479 - OR computed: HIGH=6596.00 LOW=6562.50 (2 bars)
2026-02-08 09:56:33.395 | DEBUG    | backtest.engine:_check_daily_reset:1125 - New trading day: 2025-11-23
2026-02-08 09:56:33.396 | DEBUG    | backtest.engine:_check_daily_reset:1125 - New trading day: 2025-11-24
2026-02-08 09:56:33.401 | DEBUG    | shree.strategies.es_fifteen_min:_compute_opening_range:479 - OR computed: HIGH=6686.75 LOW=6646.75 (2 bars)
2026-02-08 09:56:33.403 | INFO     | shree.strategies.es_fifteen_min:generate:284 - 📊 2025-11-24 09:30:00-06:00 | BUY: close=6699.00 ema21=6663.77 atr=13.6 adx=23 SL=6658.32 TP=6739.68 | OR_BREAK_LONG | ADX=23 | OR_H=6686.75
2026-02-08 09:56:33.403 | DEBUG    | backtest.broker_sim:submit_market_order:264 - Submitted market BUY 1 ES @ 2025-11-24 09:30:00-06:00
2026-02-08 09:56:33.403 | DEBUG    | backtest.broker_sim:submit_bracket_order:403 - Submitted bracket: BUY 1 ES, SL=6658.25, TP=6739.75
2026-02-08 09:56:33.403 | DEBUG    | backtest.engine:_evaluate_entry:1309 - Entry signal: BUY @ 6699.0, SL=6658.25, TP=6739.75, conf=0.70
2026-02-08 09:56:33.403 | DEBUG    | backtest.broker_sim:_execute_fill:793 - Filled: BUY 1 ES @ 6699.5 (slip=0.2500, comm=2.40)
2026-02-08 09:56:33.403 | DEBUG    | backtest.engine:_on_fill:1601 - Fill: BUY 1 @ 6699.5
2026-02-08 09:56:33.403 | DEBUG    | backtest.broker_sim:_activate_bracket_children:930 - Activated bracket child: 9c338431
2026-02-08 09:56:33.403 | DEBUG    | backtest.broker_sim:_activate_bracket_children:930 - Activated bracket child: 112598f7
2026-02-08 09:56:33.403 | INFO     | backtest.engine:_check_max_hold_time_exit:1342 - MAX_HOLD_EXIT: Position held 120 min >= 120 min limit. Closing at 6722.00
2026-02-08 09:56:33.403 | DEBUG    | backtest.broker_sim:cancel_order:478 - Cancelled order 9c338431
2026-02-08 09:56:33.404 | DEBUG    | backtest.broker_sim:cancel_order:478 - Cancelled order 112598f7
2026-02-08 09:56:33.404 | DEBUG    | backtest.broker_sim:cancel_all_orders:506 - Cancelled 2 pending orders for ES
2026-02-08 09:56:33.404 | DEBUG    | backtest.broker_sim:submit_market_order:264 - Submitted market SELL 1 ES @ 2025-11-24 11:45:00-06:00
2026-02-08 09:56:33.404 | DEBUG    | backtest.broker_sim:_execute_fill:793 - Filled: SELL 1 ES @ 6720.0 (slip=0.2500, comm=2.40)
2026-02-08 09:56:33.404 | DEBUG    | backtest.engine:_on_fill:1601 - Fill: SELL 1 @ 6720.0
2026-02-08 09:56:33.417 | DEBUG    | backtest.engine:_check_daily_reset:1125 - New trading day: 2025-11-25
2026-02-08 09:56:33.421 | DEBUG    | shree.strategies.es_fifteen_min:_compute_opening_range:479 - OR computed: HIGH=6730.00 LOW=6674.50 (2 bars)
2026-02-08 09:56:33.423 | INFO     | shree.strategies.es_fifteen_min:generate:284 - 📊 2025-11-25 09:30:00-06:00 | BUY: close=6734.25 ema21=6716.55 atr=14.0 adx=22 SL=6713.25 TP=6748.25 | EMA21_PB_LONG | ADX=22 | ATR=14.0
2026-02-08 09:56:33.423 | DEBUG    | backtest.broker_sim:submit_market_order:264 - Submitted market BUY 1 ES @ 2025-11-25 09:30:00-06:00
2026-02-08 09:56:33.424 | DEBUG    | backtest.broker_sim:submit_bracket_order:403 - Submitted bracket: BUY 1 ES, SL=6713.25, TP=6748.25
2026-02-08 09:56:33.424 | DEBUG    | backtest.engine:_evaluate_entry:1309 - Entry signal: BUY @ 6734.25, SL=6713.25, TP=6748.25, conf=0.70
2026-02-08 09:56:33.424 | DEBUG    | backtest.broker_sim:_execute_fill:793 - Filled: BUY 1 ES @ 6734.75 (slip=0.2500, comm=2.40)
2026-02-08 09:56:33.424 | DEBUG    | backtest.engine:_on_fill:1601 - Fill: BUY 1 @ 6734.75
2026-02-08 09:56:33.424 | DEBUG    | backtest.broker_sim:_activate_bracket_children:930 - Activated bracket child: 5dbb6208
2026-02-08 09:56:33.424 | DEBUG    | backtest.broker_sim:_activate_bracket_children:930 - Activated bracket child: 721732e4
2026-02-08 09:56:33.424 | DEBUG    | backtest.broker_sim:_execute_fill:793 - Filled: SELL 1 ES @ 6748.25 (slip=0.0000, comm=2.40)
2026-02-08 09:56:33.424 | DEBUG    | backtest.engine:_on_fill:1601 - Fill: SELL 1 @ 6748.25
2026-02-08 09:56:33.424 | DEBUG    | backtest.broker_sim:_cancel_oco_pair:516 - OCO cancelled: 5dbb6208
2026-02-08 09:56:33.425 | INFO     | shree.strategies.es_fifteen_min:generate:284 - 📊 2025-11-25 10:45:00-06:00 | BUY: close=6747.50 ema21=6723.79 atr=14.7 adx=24 SL=6729.87 TP=6769.54 | EMA9_PB_LONG | ADX=24 | RSI=64 | ATR=14.7
