symbol,direction,entry_time,entry_price,exit_time,exit_price,quantity,realized_pnl,pnl_points,commission,exit_reason,entry_metadata
ES,LONG,2025-02-04 10:15:00-06:00,6059.25,2025-02-04 11:15:00-06:00,6047.25,1,-62.4,12.0,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=26 | RSI=75 | MACD_H=3.51 | e9=6044.6 | #1 | SL=11.4pts | TP=14.3pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 9.150548012901885, 'atr_value': 9.150548012901885, 'adx_value': 26.152199920549666, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 160}"
ES,LONG,2025-02-04 11:45:00-06:00,6049.75,2025-02-04 13:15:00-06:00,6064.5,1,71.35,14.75,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=27 | RSI=57 | MACD_H=-0.01 | ATR=9.6 | SL=11.0pts[STRUCT] | TP=14.8pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 9.561438381277005, 'atr_value': 9.561438381277005, 'adx_value': 27.242147661130463, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 166}"
ES,LONG,2025-02-05 12:00:00-06:00,6071.5,2025-02-05 14:00:00-06:00,6075.25,1,16.35,3.75,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=25 | RSI=73 | MACD_H=1.82 | e9=6065.2 | #1 | SL=10.1pts | TP=12.6pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 8.09516934548248, 'atr_value': 8.09516934548248, 'adx_value': 25.182628422335018, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 259}"
ES,LONG,2025-02-06 09:15:00-06:00,6101.5,2025-02-06 09:30:00-06:00,6092.75,1,-46.15,8.75,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=18 | RSI=56 | MACD_H=0.60 | ATR=5.5 | SL=8.0pts[STRUCT] | TP=10.8pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 5.47805124252757, 'atr_value': 5.47805124252757, 'adx_value': 18.237398535332456, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 340}"
ES,SHORT,2025-02-07 12:00:00-06:00,6062.0,2025-02-07 12:15:00-06:00,6076.0,1,-72.4,14.0,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_SHORT | ADX=41 | RSI=34 | MACD_H=-2.64 | ATR=13.7 | SL=7.8pts[STRUCT] | TP=10.2pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback_short', 'atr': 13.701557134350091, 'atr_value': 13.701557134350091, 'adx_value': 41.27712373933179, 'market_state': 'DOWNTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 443}"
ES,SHORT,2025-02-07 12:30:00-06:00,6074.0,2025-02-07 12:45:00-06:00,6064.5,1,45.1,9.5,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_SHORT | ADX=40 | RSI=44 | MACD_H=-0.06 | ATR=13.4 | SL=6.0pts[STRUCT] | TP=8.0pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback_short', 'atr': 13.409760998495743, 'atr_value': 13.409760998495743, 'adx_value': 39.874047460839876, 'market_state': 'DOWNTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 445}"
ES,LONG,2025-02-11 11:30:00-06:00,6083.25,2025-02-11 13:30:00-06:00,6087.0,1,16.35,3.75,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=19 | RSI=56 | MACD_H=0.55 | ATR=6.9 | SL=11.8pts[STRUCT] | TP=15.8pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 6.915286898285632, 'atr_value': 6.915286898285632, 'adx_value': 18.571812639858845, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 625}"
ES,LONG,2025-02-14 10:00:00-06:00,6140.75,2025-02-14 10:15:00-06:00,6134.0,1,-36.15,6.75,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=29 | RSI=61 | MACD_H=1.30 | ATR=4.9 | SL=6.0pts[STRUCT] | TP=8.0pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 4.8622069236017085, 'atr_value': 4.8622069236017085, 'adx_value': 28.644919543882956, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 895}"
ES,LONG,2025-02-14 10:45:00-06:00,6136.0,2025-02-14 11:00:00-06:00,6129.25,1,-36.15,6.75,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=25 | RSI=51 | MACD_H=0.46 | ATR=5.4 | SL=6.0pts[STRUCT] | TP=8.0pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 5.3670803976504935, 'atr_value': 5.3670803976504935, 'adx_value': 25.2669066409854, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 898}"
ES,LONG,2025-02-14 13:00:00-06:00,6140.5,2025-02-14 13:30:00-06:00,6134.0,1,-34.9,6.5,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=18 | RSI=59 | MACD_H=0.44 | ATR=5.5 | SL=6.0pts[STRUCT] | TP=8.0pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 5.540078791911285, 'atr_value': 5.540078791911285, 'adx_value': 18.17235227636308, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 907}"
