timestamp,open,high,low,close,volume,vwap,trade_count,contract
2026-01-04 23:00:00+00:00,6911.25,6914.5,6904.5,6906.5,1979,6908.825,895,MESH6
2026-01-04 23:01:00+00:00,6906.25,6909.75,6905.0,6908.5,953,6907.325,437,MESH6
2026-01-04 23:02:00+00:00,6908.0,6909.75,6907.25,6908.75,452,6908.6,253,MESH6
2026-01-04 23:03:00+00:00,6908.5,6909.0,6907.0,6907.75,338,6908.0,138,MESH6
2026-01-04 23:04:00+00:00,6907.5,6908.0,6905.5,6907.0,451,6906.7,209,MESH6
2026-01-04 23:05:00+00:00,6906.75,6907.5,6905.75,6906.0,475,6906.5,228,MESH6
2026-01-04 23:06:00+00:00,6906.0,6906.5,6904.75,6905.25,501,6905.625,214,MESH6
2026-01-04 23:07:00+00:00,6905.5,6906.5,6900.5,6901.75,1138,6903.35,488,MESH6
2026-01-04 23:08:00+00:00,6901.75,6904.5,6901.75,6903.25,468,6903.225,217,MESH6
2026-01-04 23:09:00+00:00,6903.25,6904.75,6903.0,6904.5,211,6903.875,86,MESH6
2026-01-04 23:10:00+00:00,6904.5,6905.75,6904.5,6904.75,377,6905.125,155,MESH6
2026-01-04 23:11:00+00:00,6905.0,6905.0,6902.25,6902.5,354,6903.575,163,MESH6
2026-01-04 23:12:00+00:00,6902.5,6903.75,6902.5,6903.5,189,6903.05,80,MESH6
2026-01-04 23:13:00+00:00,6903.25,6903.25,6899.25,6901.25,1082,6900.575,258,MESH6
2026-01-04 23:14:00+00:00,6901.25,6902.75,6901.0,6902.75,240,6901.775,106,MESH6
2026-01-04 23:15:00+00:00,6902.75,6905.25,6902.5,6905.25,536,6903.7,208,MESH6
2026-01-04 23:16:00+00:00,6905.5,6906.75,6903.5,6904.5,752,6904.825,212,MESH6
2026-01-04 23:17:00+00:00,6904.0,6904.25,6903.5,6903.5,160,6903.95,60,MESH6
2026-01-04 23:18:00+00:00,6904.0,6904.5,6903.75,6904.25,113,6904.25,63,MESH6
2026-01-04 23:19:00+00:00,6904.25,6904.75,6903.5,6904.5,174,6904.075,65,MESH6
2026-01-04 23:20:00+00:00,6904.5,6906.0,6904.25,6905.25,327,6905.375,131,MESH6
2026-01-04 23:21:00+00:00,6905.0,6906.5,6905.0,6906.0,365,6905.8,111,MESH6
2026-01-04 23:22:00+00:00,6906.0,6908.5,6905.75,6908.0,492,6907.3,191,MESH6
2026-01-04 23:23:00+00:00,6908.25,6908.5,6906.75,6907.0,344,6907.45,154,MESH6
2026-01-04 23:24:00+00:00,6907.0,6907.75,6906.5,6907.25,190,6907.125,85,MESH6
2026-01-04 23:25:00+00:00,6907.75,6909.0,6907.0,6909.0,311,6907.825,111,MESH6
2026-01-04 23:26:00+00:00,6908.75,6909.5,6908.0,6908.25,506,6908.825,169,MESH6
2026-01-04 23:27:00+00:00,6908.5,6909.5,6908.25,6909.0,344,6908.85,102,MESH6
2026-01-04 23:28:00+00:00,6908.75,6909.0,6908.0,6908.5,225,6908.675,90,MESH6
2026-01-04 23:29:00+00:00,6908.25,6908.5,6907.5,6908.0,214,6908.1,85,MESH6
2026-01-04 23:30:00+00:00,6908.0,6908.25,6905.75,6906.0,397,6906.95,169,MESH6
2026-01-04 23:31:00+00:00,6906.0,6906.25,6905.0,6905.25,389,6905.675,159,MESH6
